state,region,site_name,site_url,search_url
Missouri,columbia / jeff city,columbiamo,https://columbiamo.craigslist.org/,https://columbiamo.craigslist.org/search/apa
Missouri,joplin,joplin,https://joplin.craigslist.org/,https://joplin.craigslist.org/search/apa
Missouri,kansas city,kansascity,https://kansascity.craigslist.org/,https://kansascity.craigslist.org/search/apa
Missouri,kirksville,kirksville,https://kirksville.craigslist.org/,https://kirksville.craigslist.org/search/apa
Missouri,lake of the ozarks,loz,https://loz.craigslist.org/,https://loz.craigslist.org/search/apa
Missouri,southeast missouri,semo,https://semo.craigslist.org/,https://semo.craigslist.org/search/apa
Missouri,springfield,springfield,https://springfield.craigslist.org/,https://springfield.craigslist.org/search/apa
Missouri,st joseph,stjoseph,https://stjoseph.craigslist.org/,https://stjoseph.craigslist.org/search/apa
Missouri,st louis,stlouis,https://stlouis.craigslist.org/,https://stlouis.craigslist.org/search/apa
Montana,billings,billings,https://billings.craigslist.org/,https://billings.craigslist.org/search/apa
Montana,bozeman,bozeman,https://bozeman.craigslist.org/,https://bozeman.craigslist.org/search/apa
Montana,butte,butte,https://butte.craigslist.org/,https://butte.craigslist.org/search/apa
Montana,great falls,greatfalls,https://greatfalls.craigslist.org/,https://greatfalls.craigslist.org/search/apa
Montana,helena,helena,https://helena.craigslist.org/,https://helena.craigslist.org/search/apa
Montana,kalispell,kalispell,https://kalispell.craigslist.org/,https://kalispell.craigslist.org/search/apa
Montana,missoula,missoula,https://missoula.craigslist.org/,https://missoula.craigslist.org/search/apa
Montana,eastern montana,montana,https://montana.craigslist.org/,https://montana.craigslist.org/search/apa
Nebraska,grand island,grandisland,https://grandisland.craigslist.org/,https://grandisland.craigslist.org/search/apa
Nebraska,lincoln,lincoln,https://lincoln.craigslist.org/,https://lincoln.craigslist.org/search/apa
Nebraska,north platte,northplatte,https://northplatte.craigslist.org/,https://northplatte.craigslist.org/search/apa
Nebraska,omaha / council bluffs,omaha,https://omaha.craigslist.org/,https://omaha.craigslist.org/search/apa
